id,study_id,title,abstract,doi
26,Alardi et al. (2024),PERONEUS LONGUS AUTOGRAFT IN ANTERIOR CRUCIATE LIGAMENT RECONSTRUCTION AS ALTERNATIVE GRAFT OPTION,"BACKGROUND: The type of the graft in anterior cruciate ligament reconstruction is still argument which one is the best regarding hamstring or bone tendon bone graft. Peroneus longus (PL) tendon is emerging good alternative choice in such type of surgery. METHODS: Study done on 30 patients with anterior cruciate ligament reconstruction (ACLR) using PL graft and evaluated after 2 years with lysholm knee score and American orthopedic foot and ankle disability index. RESULTS: Two year of surgery, the result 86-95% (good to excellent) in 22 cases (73.3%), 6 (20%) patients with 80-85% (fair to good), and 2 (6.6%) cases with 70% (poor) score without any new insult on the knee. American foot and ankle score was 100 in all 28 patients (93.3) and 96 only in 2 cases (6.6%). CONCLUSION: Good size of the graft and low donor site morbidity as well as good functional outcome may make the PL graft is a favorable graft choice in ACLR.",
30,Asif et al. (2024),Randomized Controlled Study Comparing Hamstring Graft and Peroneus Longus Tendon Graft in Arthroscopic ACL Reconstruction,"INTRODUCTION: Graft choice for anterior cruciate ligament reconstruction (ACLR) has been evolving. The peroneus longus tendon (PLT) has been seen as a suitable choice for ACLR, providing comparable results to those of hamstring tendon (HT) autograft, but its clinical relevance in terms of return to sports, to our knowledge, has not been studied. MATERIALS AND METHODS: One hundred and twenty patients who sustained an isolated ACL injury were enrolled and underwent ACLR using tripled or quadrupled PLT autograft (if graft thickness exceeded 10 mm then tripled) or quadrupled HT autograft. Patients were followed for 24 months. Functional scores (International Knee Documentation Committee [IKDC] and Tegner-Lysholm scores) were assessed preoperatively and at 3, 6, 12, and 24-month post-operatively. Graft diameter and graft harvesting time were measured intraoperatively. Donor-site morbidity was evaluated using subjective evaluation. Time to return to sports in both groups was compared. RESULTS: The mean diameter of the PLT autograft was significantly larger than that of the HT autograft, and the mean graft harvesting time was less (P < 0.001). Patients in the PLT group returned to sports a mean of 36 days earlier than those in the HT group (P < 0.001) and had a lower rate of donor-site morbidity, and better patient-reported outcomes at the knee (P < 0.001). There was a significant difference between the groups in IKDC and Tegner-Lysholm scores at the 24-month follow-up. CONCLUSION: Despite some donor site complications, such as numbness and infection, both PLT and HT grafts offer acceptable knee stability. However, PLT grafts seem to provide superior subjective functional outcomes based on patient-reported scores. More research is needed to further establish these findings and optimize graft choices for individual patients.",10.13107/jocr.2024.v14.i11.4980
32,Butt et al. (2024),5-years outcomes following arthroscopic anterior cruciate ligament reconstruction comparing quadruple hamstring and peroneus longus tendon autografts: a randomized control trial,"AIMS: This study presents clinical outcomes, functional results, and return to sports after anterior cruciate ligament (ACL) reconstruction using quadruple hamstring tendon autograft or peroneus longus tendon autograft in a randomized controlled trial. PATIENTS AND METHODS: Between February 2018 and July 2019, patients who underwent ACL reconstruction were randomly assigned to two groups: hamstring and peroneus longus. Patient related outcome measurements and pain intensity were evaluated using IKDC, Lysholm, and visual analog scores at 3 and 6 months, 1, 2, and 5 years after the surgery. At the 5 year follow-up, anterior stability was tested using the 3D printable Knee Arthrometer. In addition, in the peroneus longus group, ankle functional assessment was performed using the American foot and ankle score. Additionally, data on the return to sports/activities was collected for both groups at the last follow-up. RESULTS: Sixty patients, with 30 in the hamstring group and 30 in the peroneus group, were included in the study. Patients were predominately male and with low activity demands. After five years of follow-up, there was no significant difference in functional assessment scores (IKDC and Lysholm) between the two groups (P n.s). The median graft diameter was 7.9 ± 0.4 mm in the hamstring tendon group and 8.9 ± 0.2 mm in the PL group (P < 0.001). The improvement in Arthrometer testing measurements (AMT) for the operated knees in the hamstring and peroneus longus groups were similar. In the peroneus longus group, the mean postoperative foot and ankle score was 98.6 ± 3.9 (range = 85-100). CONCLUSION: Using Peroneus longus tendon autograft for arthroscopic ACL reconstruction is a feasible alternative as studied in this cohort of predominately male patients with low activity demands. The graft diameter in this study was sufficient, and the results regarding laxity and patient related outcome measurements were similar to those achieved with hamstring tendon autografts. LEVEL OF EVIDENCE: Level I TRIAL REGISTRATION: ChiCTR2000036989.",10.1007/s00402-024-05639-1
34,Oliveira et al. (2024),Evaluation of the peroneus longus tendon as an autologous graft in knee surgery,"Our hypothesis is that the peroneus longus (PL) is a great option for ligament reconstruction in the knee, and therefore the objective of the study is to determine if the use of this graft is safe and does not cause secondary damage to the harvested area. A prospective study was conducted between April 2019 and September 2022. Patients who underwent any type of knee ligament reconstruction using the PL or just the anterior half (AHPL) as grafts were followed up. These patients were evaluated according to the Tegner-Lysholm score and the International Knee Documentation Committee (IKDC) guidelines for functional evaluation of the knee and the American Orthopedic Foot and Ankle Score (AOFAS) and the Foot and Ankle Disability Index (FADI) for the functional evaluation of the ankle. Most patients had an increase in the IKDC score, Tegner-Lysholm score, AOFAS and FADI regardless of the graft used in the surgical procedure, with mean values at the 24-month follow-up of, respectively, 99.02± 0.02, 98.69± 0.08, 99.92± 0.07, and 99.92± 0.07 for those with PL grafts and 99.31± 0.54, 98.88± 0.95, 100± 0.00, and 100± 0.00 for those with AHPL grafts. The differences in the scores between the two graft groups during each of the follow-up periods were significant (P = 0.001). The use of the peroneus longus tendon as a graft in knee surgeries was shown to be adequate for achieving good knee functional results.",10.1038/s41598-024-76779-y
35,Dwidmuthe et al. (2024),"Functional Outcome of Single-Bundle Arthroscopic Anterior Cruciate Ligament Reconstruction using Peroneus Longus Graft and Hamstring Graft: An Open-Label, Randomized, Comparative Study","Background This study investigates the functional outcomes of single-bundle arthroscopic anterior cruciate ligament (ACL) reconstruction, comparing the use of two distinct graft sources: peroneus longus (PL) graft and hamstring graft. The choice of graft material in ACL reconstruction is crucial for optimal postoperative results, and this study aims to contribute valuable insights into the comparative efficacy of these two graft types. Method This open-label randomized comparative study involved a carefully selected cohort of patients undergoing single-bundle arthroscopic ACL reconstruction. Participants were randomly assigned to either the PL graft group or the hamstring graft group. Surgical procedures were conducted using standardized techniques, and postoperative rehabilitation protocols were closely monitored. Functional outcomes, including range of motion, stability, and patient-reported measures, were assessed at predefined intervals to ensure comprehensive data collection. Results The study underscores significant demographic and clinical factors in ACL reconstruction outcomes. Participants were predominantly aged 17-30 years (58.33%) with a mean age of 29.27 years and exhibited a male predominance (80.56%). Common complaints included knee pain and instability, primarily due to falls from bikes (55.56%) or sports-related trauma (44.44%). Notably, PL grafts demonstrated advantages over hamstring grafts, with longer mean length (10.11 mm vs. 8.77 mm, p=0.0001) and shorter operation times. Visual analog scale (VAS), International Knee Documentation Committee (IKDC), and Tegner Lysholm scores show no significant differences between grafts over the period of time. There is no notable foot eversion weakness or significant donor site morbidity after the PL graft harvest. Hamstring graft cases exhibit a higher incidence of altered sensation and muscle atrophy, suggesting the potential benefits of PL grafts for improved surgical outcomes. Conclusions Graft comparisons favored PL grafts due to longer length, and functional outcome assessments between the two graft types. However, foot and ankle strength assessments revealed fluctuations in strength recovery with PL grafts, highlighting the need for tailored rehabilitation. Thigh circumference variations suggested potential muscle atrophy in the hamstring graft group, along with reported paresthesia in the ipsilateral proximal leg. In conclusion, PL grafts offer potential advantages for ACL surgery, but ongoing monitoring and specialized rehabilitation are crucial.",10.7759/cureus.60239
36,Ertilav et al. (2024),Donor Site Morbidity after Removal of FullThickness Peroneus Longus Tendon Graft for Anterior Cruciate Ligament (ACL) Reconstruction: 4-Year Follow-up,"PUSPOSE OF THE STUDY. Many studies have investigated the efficacy of peroneus longus tendon (PLT) in anterior cruciate ligament (ACL) reconstruction, and donor site morbidity has not been adequately studied. MATERIAL AND METHODS: Fifty patients who underwent ACL reconstruction using PLT were included. Ankle strengths of the patients evaluated with an analog dynamometer. Ankle range of motion (ROM) was measured with a smart phone inclonometer application. RESULTS: There was no significant difference between the postoperative ankle strength(eversion, plantar flexion) in the donor area and the preoperative period (p=0.6 and p=0.7, respectively) and contralateral healthy side (p=0.6, p=0.6, respectively). Ankle ROM angles (dorsiflexion, plantar flexion, eversion, inversion) were significantly lower in the post-operative period compared to the preoperative period and contralateral healthy side (p<0.05, p<0.05, p<0.05, p<0.05, respectively). There was no significant difference between pre-operative and post-operative AOFAS scores (p=0.2). CONCLUSIONS: Although PLT can affect ROM angles, it is a promising alternative for ACL reconstructions without causing functional morbidity. KEY WORDS: peroneus longus tendon, autograft, anterior cruciate ligament reconstruction, donor site morbidity.",10.55095/achot2024/023
37,Farey et al. (2024),Outcomes of ACL Reconstruction Utilizing Supercritical CO(2)-Sterilized Allografts,"BACKGROUND: Allograft tendons are perceived to have a high ACL graft failure rate in primary anterior cruciate ligament (ACL) reconstruction (ACLR). Historical series may be biased by graft processing methods that degrade the biomechanical properties of donor tendons such as irradiation. Supercritical carbon dioxide (SCCO2) is a validated method of terminally sterilizing biomaterials at physiological temperatures without irradiation, but in vivo use of SCCO2-processed tendon allografts for primary ACLR has not been reported to date. HYPOTHESIS: ACLR with SCCO2 allografts would result in acceptable failure rates, subjective knee scores, and clinical evaluation at 2 years postoperatively. STUDY DESIGN: Case series; Level of evidence, 4. METHODS: Patients underwent primary ACLR with terminally sterilized SCCO2-processed human gracilis, peroneus longus, semitendinosus, tibialis anterior, and tibialis posterior tendon allografts. Patient demographics were collected, along with tendon donor age and sex. At 1 year postoperatively, subjective International Knee Documentation Committee (IKDC) and ACL-Return to Sport After Injury (ACL-RSI) scores were collected, as well as clinical evaluation. At 2 years postoperatively, the IKDC and ACL-RSI scores were repeated, and return to sports and further knee injuries were recorded. RESULTS: A total of 144 patients with a medianage of 26 (IQR 14) years formed the study group. Patients were predominately male (58%). The loss to follow-up rate was 8% (n = 12). The mean age of allograft tendon donors was 37 (range 17-58) years, and the majority were male (83%). The mean allograft diameter was 8.9 ± 1.0 mm. At 2 years, ACL graft failureoccurred in 5% (n = 7). All graft failureswere in patients aged ≤25 years (P = .007). Neither donor age (≤40 or >40 years) nor donor sex was associated with graft failure (P > .05). The median IKDC subjective score was 95 and ACL-RSI score was 75. There were no revisions for sepsis within the first 2 years postoperatively. CONCLUSION: SCCO2 processing of allograft tendons demonstrated satisfactory clinical and patient-reported outcomes at 24 months postoperatively in a consecutive series of patients with primary ACLR, with similar ACL graft failure rates and subjective knee scores compared with those reported in published series of hamstring tendon autograft and fresh frozen nonirradiated allograft.",10.1177/23259671241254115
39,Gök et al. (2024),Peroneus Longus vs Hamstring Tendon Autografts in ACL Reconstruction: A Comparative Study of 106 Patients' Outcomes,"BACKGROUND Anterior cruciate ligament (ACL) reconstruction commonly uses a hamstring tendon autograft, but the peroneus longus tendon can also be used. This study aimed to compare outcomes of anterior cruciate ligament reconstruction in 106 patients using peroneus longus tendon and hamstring tendon autografts. MATERIAL AND METHODS ACL repair was performed on 54 patients using a hamstring tendon autograft and 52 patients with a peroneus longus tendon autograft. Knee function was assessed using the International Knee Documentation Committee (IKDC) and Lysholm scores, while the ankle was evaluated using the American Orthopedic Foot and Ankle Score (AOFAS) and the Foot &amp; Ankle Disability Index (FADI) scores. Donor-site morbidity and graft characteristics were compared. RESULTS There was no difference between the 2 groups in terms of knee IKDC and Lysholm scores (p=0.49, p=0.68, respectively). The diameter of the peroneus longus tendon graft (8.56±0.93) was significantly larger than the hamstring tendon (7.44±0.6) (p<0.001). The peroneus graft harvesting time was significantly shorter (p<0.001). Thigh hypotrophy and donor-site morbidity were significantly higher in the hamstring group (p<0.001 and p=0.006). The donor ankle AOFAS score was 93.46±3.8, and the FADI score was 93.48±4.6. No morbidity associated with the peroneus longus graft was observed. CONCLUSIONS Patients who underwent ACL reconstruction using the peroneus longus tendon experienced faster knee rehabilitation and less donor-site morbidity, such as thigh hypotrophy and knee pain. The peroneus longus tendon, with its larger diameter, fewer graft-related complications, and similar knee scores compared to the hamstring group, is considered a suitable alternative graft source.",10.12659/MSM.945626
42,Kilic et al. (2024),Relationship between peroneus longus tendon graft thickness and anthropometric variables: a radiographic study using ultrasonography,"BACKGROUND: This study aimed to evaluate the predictive value of anthropometric measurements for two-stranded peroneus longus tendon (PLT) graft thickness using ultrasonography MATERIALS AND METHODS: A prospective study was conducted on 204 healthy volunteers (102 males and 102 females) aged 18-40 years. Anthropometric measurements were recorded, including height, weight, body mass index (BMI), fibular length, calf circumference, and ankle circumference. The Tegner Activity Scale (TAS) was used to assess activity levels. PLT cross-sectional area (CSA) was measured using ultrasonography. Two-stranded PLT graft thickness was calculated using the previously reported formula by Luo et al. A thickness of less than 8 mm of PLT graft was accepted as an insufficient autograft for anterior cruciate ligament reconstruction (ACLR). Correlation and regression analyses were performed to identify predictors of two-stranded PLT graft thickness. Receiver operating characteristic (ROC) analysis was performed to establish the best threshold values. RESULTS: Males had a significantly greater PLT CSA (0.17 ± 0.03 cm2) and predicted two-stranded PLT graft thickness (8.1 ± 0.6 mm) compared with females (0.15 ± 0.03 cm2 and 7.5 ± 0.6 mm, respectively; p < 0.001 for both). Correlation analysis revealed that two-stranded PLT graft thickness positively correlated with height, weight, BMI, fibular length, calf circumference, ankle circumference, and Tegner Activity Scale in both genders, with stronger correlations observed in females. The logistic regression model identified height and calf circumference as significant predictors of sufficient two-stranded PLT graft thickness (≥ 8 mm) in males, while calf circumference and the TAS were significant predictors in females. ROC analysis demonstrated that calf circumference and the TAS had acceptable discriminatory abilities in females, with 36.25 cm and ≥ 4 cutoff points, respectively. However, no anthropometric variables in males exhibited strong discriminatory abilities for predicting two-stranded PLT graft thickness CONCLUSIONS: Calf circumference and the TAS are significant predictors for two-stranded PLT autograft thickness in females. However, no anthropometric variables in males could be used strongly for prediction. These anthropometric measurements can assist in preoperative planning and decision-making, potentially improving ACLR outcomes by ensuring adequate graft thickness in females. LEVEL OF EVIDENCE: Level II prospective study.",10.1186/s43019-024-00235-4
44,Mirza et al. (2024),Donor-site morbidity following arthroscopic anterior cruciate ligament reconstruction using peroneus longus tendon autograft,"INTRODUCTION: Peroneus longus has proved to be a promising graft for ACL reconstruction due to its high tensile strength, and ease of harvesting. While multiple studies have assessed the functional outcomes of the knee after ACL reconstruction using peroneus longus autograft, we aimed to evaluated donor site morbidity among the Indian population. MATREIALS AND METHODS: This was a prospective, longitudinal, descriptive study conducted at a tertiary care hospital. Preoperative AOFAS and Karlsson-Peterson scores were obtained, and patients were followed up after surgery for a period of 6-months using the same scoring systems and strength testing with a hand-held Chatillon MSE-100-M dynamometer. Pedobarographs were done using Diers Pedoscan Plantar Pressure Measurement System on a subset of seven patients. RESULTS: 20 patients participated in the study. Mean AOFAS and Karlsson-Peterson scores pre-operatively were 99.7 ± 1.34 and 98.5 ± 4.62 respectively. On completing 6- months of follow-up these scores were found to be 95.6 ± 9.43 and 88.75 ± 18.42 respectively. Deterioration of mean evertor strength was noted at all follow-ups compared to the opposite side. Static pedobarographs showed significant decreased in total surface area of contact and pressure over the posterior aspect of the operated side by 3-months which improved later at 6-months. Dynamic pedobarographs showed decreased mean average plantar pressure while walking on the operated side and significant increase in mean surface area of contact of the operated side (191.886±22.678 cm2) at 6-months of follow-up compared to the opposite side (184.471 ± 22.218 cm2). Five patients showed deviation of the point of maximum pressure while walking on the operated foot making it lateral to the COP with increased lateral plantar/ medial plantar pressure ratio. CONCLUSION: While the use of peroneus longus tendon autografts in arthroscopic ACL reconstruction does not seem problematic on short-term subjective assessment, there is objective evidence in keeping with evertor weakness, weakness of first ray plantar flexion and possible ankle instability. LEVEL OF EVIDENCE: Level lll.",10.1007/s00590-024-04046-x
46,Pilar et al. (2024),Evaluating the Efficacy of Peroneus Longus Tendon as an Autograft for Anterior Cruciate Ligament Reconstruction in Indian Female Patients: A Prospective Cohort Study,"Background Anterior cruciate ligament (ACL) injuries are prevalent, especially among active individuals, and are increasingly observed even in Indian women who are not active in sports. ACL reconstruction (ACLR) is commonly performed using various graft options, but optimal choices for women remain debated. The aim of our study was to examine the use of the peroneus longus tendon as an autograft for ACLR in Indian female patients. Materials and methods A prospective cohort study was carried out on 44 non-athlete female patients who met the inclusion criteria. The study evaluates functional outcomes using the International Knee Documentation Committee (IKDC), Lysholm-Tegner, and American Orthopaedic Foot and Ankle Society (AOFAS) scores, as well as knee stability through clinical tests, over a one-year postoperative period. Results The study demonstrates significant improvements in knee function, with substantial increases in IKDC and Lysholm-Tegner scores from preoperative levels (p-value < 0.01), and effective restoration of knee stability, as shown by improved Lachman, Anterior Drawer, and Pivot Shift test results. Moreover, the peroneus longus graft had minimal impact on ankle morbidity, as indicated by consistent AOFAS scores before and after surgery. Conclusion The study highlights the peroneus longus tendon as a viable graft option for ACLR in symptomatic Indian female patients who were not active in sports, offering both mechanical strength and favorable functional outcomes without affecting the ankle strength or the function.",10.7759/cureus.71665
47,Punnoose et al. (2024),"Peroneus Longus Tendon Autografts have Better Graft Diameter, Less Morbidity, and Enhanced Muscle Recuperation than Hamstring Tendon in ACL Reconstruction","BACKGROUND: Recently the peroneus longus tendon (PLT) gained popularity in anterior cruciate ligament (ACL) reconstruction and has been utilized with satisfactory outcomes. However, there are concerns regarding donor site morbidity. This study aims to compare the functional outcome of ACL reconstruction using hamstring (HT) and PLT autografts and evaluate the donor site morbidity. METHODS: Patients who underwent ACL reconstruction were allocated to two groups (HT and PLT). Graft diameter was measured intraoperatively. Knee functional outcome was evaluated with IKDC and Tegner-Lysholm scores preoperatively, and postoperatively after 3 months, 6 months, and 1 year. Donor site morbidities were assessed with thigh circumference measurements, subjective evaluation of sensory disturbances, and ankle scoring with AOFAS and FADI scores. RESULTS: At 1-year follow-up, the PLT group showed comparable IKDC (p = 0.925) and Tegner-Lysholm (p = 0.600) scores with those of the HT group. The mean graft diameter in the PLT group (7.93 ± 0.52 mm) was larger compared with the HT group (7.43 ± 0.50 mm) (p < 0.001). The incidence of thigh atrophy (HT-16.7%, PLT-10%) and sensory disturbances (HT-73.3%, PLT-10%) was greater in the HT group. There was no significant ankle donor site morbidity in the PLT group (AOFAS-98.67 ± 3.45, FADI-99.23 ± 1.69). CONCLUSION: ACL reconstruction with PLT had comparable functional outcome with that of HT at 1 year. However, PLT demonstrated larger graft diameter, less donor site morbidity, and enhanced muscle recovery without significantly affecting the ankle function. PLT can be safely used as an acceptable alternative graft choice harvested from outside the knee for ACL reconstruction.",10.1007/s43465-024-01185-5
49,Shetty et al. (2024),Arthroscopic Reconstruction of Injured Anterior Cruciate Ligament Using Peroneus Longus Graft With Fixed Loop Endobutton - A Prospective Study,"INTRODUCTION: ACL injuries are more common amongst active young people where RTA and sports injuries predominate as the most common methods of injury ACL reconstruction with peroneus longus graft method have been used more frequently nowadays. The advantages of peroneus longus graft are, Adequate graft length of minimum of 25 to 30 cm. Adequate thickness of minimum 8.5 to 9mm,Less incidence of graft thinning, Lesser hamstring and quadriceps weakness, Minimal donor site morbidity. Minimal restriction of ankle movements. MATERIALS AND METHODS: A prospective study of 25 patients with injured anterior cruciate ligament without meniscal injury within the age group of 18-55 years managed with arthroscopic reconstruction of anterior cruciate ligament with peroneus longus graft and fixed loop endobutton at femoral side and interference screw at tibial side. Functional outcome was assessed using clinical examination, International Knee Documentation committee and Lysholm knee scoring scale, FADI score (foot and ankle disability index score). Patients were followed up at 2, 4, 8, 12weeks and 6, 8 months post-operatively. RESULTS: This study consists of 25 cases of Anterior Cruciate Ligament injury. ACL rupture was common in second and third decade of life. In our study, 18(63.34%) were sports related injuries, 5(26.66%) were due to road traffic accidents and 2(10%) were atraumatic degenerations. 22(80%) showed excellent results and 3(20%) showed good results. CONCLUSIONS: Arthroscopic ACL reconstruction using peroneus longus graft and Fixed-loop Endobutton and interference screws provided excellent post-operative clinical outcome in terms of knee stability, subjective knee and ankle function and range of movements of the knee and ankle in our study.",10.13107/jocr.2024.v14.i10.4872
50,Soni et al. (2024),Functional Outcomes in Anterior Cruciate Ligament (ACL) Reconstruction: A Nine-Month Follow-up Study Using Lysholm Score in a Rural Tertiary Care Center in India,"Introduction The knee joint, an extraordinary feat of biomechanics, is prone to injuries, with the anterior cruciate ligament (ACL) often being a common victim. The intricate coordination of joint movements relies heavily on the ACL's screw-home mechanism, a crucial element for synchronizing knee movement with neighboring joints. Despite its indispensable role, the ACL is susceptible to injury, necessitating surgical intervention. While many patients experience positive outcomes following ACL reconstruction surgeries, a significant proportion face the challenge of procedure failure. The key to success lies in the healing process within the tibial and femoral bone tunnels. The post-ACL reconstruction phase introduces its own set of challenges, particularly in the context of returning to sports (RTS), underscoring the importance of reinstating neuromuscular and motor function. The trajectory of rehabilitation is influenced by factors such as graft healing, patient age, gender, pain levels, and concurrent injuries. Materials and methods This prospective observational study spanned 2.5 years, enrolling 71 patients with diagnosed ACL injuries. Arthroscopic reconstruction utilized hamstring autografts and peroneus longus autografts. A nine-month post-surgery follow-up employed the Lysholm scoring system for comprehensive evaluations. Results Over 2.5 years, 87.3% of male and 12.6% of female participants underwent arthroscopic reconstruction. Lysholm scores revealed 28.1% excellent, 45.0% good, and 26.7% fair outcomes, with no participants in the unsatisfactory range. Lysholm scores demonstrated positive outcomes, indicating the efficacy of arthroscopic reconstruction in enhancing knee function. Findings align with existing literature, emphasizing positive results from ACL reconstruction techniques and specific implants. Comparisons with related studies highlight challenges in standardized return-to-sport guidelines and underscore the need for outcome measure standardization. Conclusion The study contributes nuanced insights into ACL reconstruction outcomes, emphasizing positive functional recovery trends at the nine-month follow-up. Lysholm scores indicate favorable outcomes, supporting the procedure's effectiveness. Consideration of specific implants adds practical value. Despite limitations, this study enriches ACL reconstruction research, promoting advancements in patient care and outcomes. Ongoing research with extended follow-ups and larger cohorts will enhance understanding and refine ACL reconstruction strategies.",10.7759/cureus.53480
53,Zhang et al. (2024),The Efficacy of Anterior Cruciate Ligament Reconstruction with Peroneus Longus Tendon and its Impact on Ankle Joint Function,"OBJECTIVE: Peroneus Longus Tendon (PLT), a viable anterior cruciate ligament (ACL) graft, shares similar biomechanics, making it suitable for reconstruction. Controversy exists over whether PLT transplants affects the donor ankle joint. The purpose of this study was to examine the recovery of knee joint function following arthroscopic ACL restoration using autologous PLT and its influence on the donor ankle joint. METHODS: A retrospective analysis was conducted on 65 patients with ACL rupture who underwent PLT graft reconstruction in our hospital from January 2016 to December 2021. A three-dimensional gait analysis of the bilateral knee and ankle joints was performed postoperatively using an Opti_Knee three-dimensional motion measurement and analysis system-Yidong Medical Infrared Motion Gait Analyzer. Knee function scores and changes in the range of motion of the bilateral knee and ankle joints were collected. The analysis of preoperative and postoperative joint function scores, bilateral knee and ankle mobility was performed by t-tests. RESULTS: One year after surgery, the patients' International Knee Documentation Committee (IKDC) scores, Knee Injury and Osteoarthritis Outcome Scores (KOOSs), and Lysholm scores were significantly improved compared to preoperative scores, with statistically significant differences (p < 0.05). There was no statistical difference in the American Orthopedic Foot and Ankle Society (AOFAS) score of the donor ankle joint before and after surgery (p > 0.05). During different gait cycles, there was no statistical difference in knee joint mobility between the affected and healthy sides (p > 0.05), but there was a statistical difference in the inversion and eversion angle of the donor ankle joint during the support phase (p < 0.05). CONCLUSION: ACL reconstruction using the PLT can yield satisfactory knee joint function. However, it does affect inversion and eversion in the donor ankle joint, necessitating postoperative exercises. Similar subjective function ratings for both operated and non-operated feet, despite increased inversion-eversion motion in the operated foot, may be influenced by the subjective nature and margin of error in the AOFAS Ankle-hindfoot score, along with the relatively small variation in ankle inversion-eversion angles.",10.1111/os.14060
54,Zhao et al. (2024),The effect of harvesting the anterior half of the peroneus longus tendon on foot morphology and gait,"BACKGROUND AND OBJECTIVES: In anterior cruciate ligament reconstruction, the strength of the graft was found to be unsatisfactory usually the anterior half of the peroneus longus tendon was taken for supplementation, but the effect on foot and ankle function and gait in the donor area is unclear. This study aims to explore the changes in the ankle and gait after using the harvested anterior half of the peroneus longus tendon as a reconstruction graft for the anterior cruciate ligament. METHODS: A total of 20 patients, 6 males and 14 females, aged 18 to 44 years, with unilateral anterior cruciate ligament injuries, underwent reconstruction using the harvested anterior half of the peroneus longus tendon as a graft between June 2021 and December 2021. The part on which the anterior half of the peroneus longus tendon was harvested was considered the experimental group, while the contralateral foot was the control group. At the 6-month follow-up, the Lysholm knee score, AOFAS ankle score, and gait-related data (foot length, arch index, arch volume, arch volume index, and gait cycle parameters: percentage of time in each gait phase, step frequency, step length, foot strike angle, and push-off angle) were assessed using a 3D foot scanner and wearable sensors for both groups. RESULTS: All 20 patients completed the six-month follow-up. There were no statistically significant differences between the experimental and control groups regarding knee scores, ankle scores, foot length, arch index, arch volume, arch volume index, step frequency, and step length (P > 0.05). However, there were statistically significant differences between the experimental and control groups in terms of the gait cycle parameters, including the percentage of time in the stance, mid-stance, and push-off phases, as well as foot strike angle and push-off angle (P < 0.05). CONCLUSION: Through our study of the surgical experimental group we have shown that harvesting the anterior half of the peroneus longus tendon does not affect foot morphology and gait parameters; however, it does impact the gait cycle.",10.1186/s13018-023-04429-6
55,Agarwal et al. (2023),Comparison of Functional Outcomes of an Anterior Cruciate Ligament (ACL) Reconstruction Using a Peroneus Longus Graft as an Alternative to the Hamstring Tendon Graft,"Background Ever since the arthroscopic reconstruction of the anterior cruciate ligament (ACL) has begun, the use of the peroneus longus (PL) graft for primary ACL reconstruction (ACLR) has never been thought of. There is very little literature on it. Hence, our study aims to compare the functional outcomes, knee stability, donor site morbidity, and assessment of thigh muscle wasting in patients with ACL injury managed by arthroscopic single bundle reconstruction with peroneus longus tendon (PLT) and hamstring tendons (HT), respectively. Methods All adults aged 16-50 years of either gender presenting with symptoms of symptomatic ACL deficiency were admitted for arthroscopic single-bundle ACLR and allocated into two groups (peroneus longus and hamstring tendon). Functional scores (International Knee Documentation Committee (IKDC), Lysholm score), clinical knee evaluation (anterior drawer, Lachman, and pivot shift test), donor site morbidity (American Orthopedic Foot and Ankle Society ankle hindfoot score (AOFAS)), and thigh circumference were recorded preoperatively and at six months and one year postoperatively. The same post-op rehabilitation protocol was followed in both groups. Results One hundred and ninety-four patients (hamstring n = 96, peroneus n = 98) met the inclusion criteria. There were no significant differences between the preoperative, six-month postoperative, and one-year postoperative scores between the hamstring and peroneus longus groups in the IKDC (p=0.356) and Lysholm knee score (p=0.289). The mean for the AOFAS was 99.05 ± 3.56 and 99.80 ± 0.70 in the PLT and HT groups, respectively, showing no statistical difference, with a significant improvement in thigh muscle wasting among the PLT group at final follow-up (p < 0.001). Conclusion We observed similar knee stability and functional outcomes and no obvious donor site morbidity among both groups. These patients also had better responses to physiotherapy in recovering from their thigh muscle wasting. So, we can recommend that a PL graft can be a safe, viable, and effective option for usual arthroscopic single-bundle ACL reconstruction.",10.7759/cureus.37273
